Batch No.,datetime,Data Parameter,Actual,Target,Batch Status,Bike Type,Name of Process Step
7001,2021-09-24 10:13:42,Current,11.466,,1,Road,Shutter Open
7001,2021-09-24 10:15:23,Voltage,,219,1,Road,Shutter Open
7001,2021-09-24 10:18:27,Voltage,93,,1,Road,Shutter Open
7001,2021-09-24 10:21:28,Voltage,217.5,,1,Road,Shutter Open
7001,2021-09-24 10:22:25,Voltage,295,,1,Road,Shutter Open
7001,2021-09-24 10:23:06,Voltage,438,,1,Road,Shutter Open
7001,2021-09-24 10:25:48,Voltage,356.4,,1,Road,Shutter Open
7001,2021-09-24 10:28:46,Voltage,306,,1,Road,Shutter Open
7001,2021-09-24 10:34:54,Voltage,,392,1,Road,Shutter Open
7001,2021-09-24 10:38:17,Voltage,364,,1,Road,Shutter Open
7001,2021-09-24 10:39:42,Gas Flow,,4200,1,Road,Painting 1
7001,2021-09-24 10:40:19,Gas Flow,5240,,1,Road,Painting 1
7001,2021-09-24 10:45:00,Gas Flow,2993,,1,Road,Painting 1
7001,2021-09-24 10:55:00,Gas Flow,3705,,1,Road,Painting 1
7001,2021-09-24 10:58:39,Pressure,,660,1,Road,Painting 1
7001,2021-09-24 10:59:27,Pressure,618,,1,Road,Painting 1
7001,2021-09-24 11:01:06,Pressure,545,,1,Road,Painting 1
7001,2021-09-24 11:03:58,Gas Flow,,8100,1,Road,Painting 2
7001,2021-09-24 11:04:23,Gas Flow,6000,,1,Road,Painting 2
7001,2021-09-24 11:04:48,Gas Flow,5664,,1,Road,Painting 2
7001,2021-09-24 11:08:21,Gas Flow,8184,,1,Road,Painting 2
7001,2021-09-24 11:16:35,Pressure,,400,1,Road,Painting 2
7001,2021-09-24 11:17:17,Pressure,702,,1,Road,Painting 2
7001,2021-09-24 11:19:55,Pressure,595,,1,Road,Painting 2
7001,2021-09-24 11:27:40,Temperature,,105,1,Road,Gloss Finish
7001,2021-09-24 11:27:40,Gas Flow,,10700,1,Road,Gloss Finish
7001,2021-09-24 11:28:49,Voltage,,362.5,1,Road,Gloss Finish
7001,2021-09-24 11:32:17,Voltage,146,,1,Road,Gloss Finish
7001,2021-09-24 11:35:32,Gas Flow,1179,,1,Road,Gloss Finish
7001,2021-09-24 11:42:00,Gas Flow,1360,,1,Road,Gloss Finish
7001,2021-09-24 11:44:52,Gas Flow,1840,,1,Road,Gloss Finish
7001,2021-09-24 11:50:36,Temperature,119.6,,1,Road,Gloss Finish
7001,2021-09-24 11:53:27,Temperature,103.6,,1,Road,Gloss Finish
7001,2021-09-24 11:55:01,Temperature,115.5,,1,Road,Gloss Finish
7001,2021-09-24 12:05:35,Voltage,,83,1,Road,Shutter Closing
7001,2021-09-24 12:08:54,Voltage,109.25,,1,Road,Shutter Closing
7001,2021-09-24 12:11:01,Voltage,96,,1,Road,Shutter Closing
7001,2021-09-24 12:16:05,Current,,8.25,1,Road,Shutter Closing
7001,2021-09-24 12:27:38,Current,5.16,,1,Road,Shutter Closing
7001,2021-09-24 12:31:20,Current,4.446,,1,Road,Shutter Closing
7001,2021-09-24 12:32:05,Current,6.642,,1,Road,Shutter Closing
7002,2021-09-25 00:55:07,Temperature,,107,0,Hybrid,Warming Up
7002,2021-09-25 00:59:34,Temperature,116,,0,Hybrid,Warming Up
7002,2021-09-25 01:49:28,Temperature,120.6,,0,Hybrid,Warming Up
7002,2021-09-25 02:08:23,Temperature,139,,0,Hybrid,Warming Up
7002,2021-09-25 02:10:17,Temperature,93.45,,0,Hybrid,Warming Up
7002,2021-09-25 02:35:53,Temperature,71,,0,Hybrid,Warming Up
7002,2021-09-25 03:36:53,Current,,10.656,0,Hybrid,Shutter Open
7002,2021-09-25 03:57:38,Current,10.608,,0,Hybrid,Shutter Open
7002,2021-09-25 04:58:35,Current,6.004,,0,Hybrid,Shutter Open
7002,2021-09-25 05:09:44,Current,7.36,,0,Hybrid,Shutter Open
7002,2021-09-25 05:22:08,Current,8.814,,0,Hybrid,Shutter Open
7002,2021-09-25 05:40:27,Voltage,,435,0,Hybrid,Shutter Open
7002,2021-09-25 05:44:20,Voltage,147,,0,Hybrid,Shutter Open
7002,2021-09-25 06:39:49,Voltage,166.5,,0,Hybrid,Shutter Open
7002,2021-09-25 07:14:16,Voltage,190,,0,Hybrid,Shutter Open
7002,2021-09-25 07:19:41,Voltage,450,,0,Hybrid,Shutter Open
7002,2021-09-25 07:53:36,Voltage,458.7,,0,Hybrid,Shutter Open
7002,2021-09-25 08:48:00,Voltage,450,,0,Hybrid,Shutter Open
7002,2021-09-25 08:58:09,Voltage,,516,0,Hybrid,Shutter Open
7002,2021-09-25 09:21:14,Voltage,400,,0,Hybrid,Shutter Open
7002,2021-09-25 09:54:56,Gas Flow,,5720,0,Hybrid,Painting 1
7002,2021-09-25 10:07:30,Gas Flow,5360,,0,Hybrid,Painting 1
7002,2021-09-25 10:55:18,Gas Flow,4305,,0,Hybrid,Painting 1
7002,2021-09-25 11:07:13,Gas Flow,4368,,0,Hybrid,Painting 1
7002,2021-09-25 11:36:34,Pressure,,505,0,Hybrid,Painting 1
7002,2021-09-25 11:45:45,Pressure,570,,0,Hybrid,Painting 1
7002,2021-09-25 12:05:54,Pressure,625,,0,Hybrid,Painting 1
7002,2021-09-25 12:56:19,Gas Flow,,7920,0,Hybrid,Painting 2
7002,2021-09-25 13:23:57,Gas Flow,4850,,0,Hybrid,Painting 2
7002,2021-09-25 13:27:03,Gas Flow,5074,,0,Hybrid,Painting 2
7002,2021-09-25 13:38:43,Gas Flow,4402,,0,Hybrid,Painting 2
7002,2021-09-25 13:55:36,Pressure,,410,0,Hybrid,Painting 2
7002,2021-09-25 13:58:47,Pressure,516,,0,Hybrid,Painting 2
7002,2021-09-25 14:34:49,Pressure,540,,0,Hybrid,Painting 2
7002,2021-09-25 15:46:10,Temperature,,151.2,0,Hybrid,Gloss Finish
7002,2021-09-25 15:49:31,Gas Flow,,10200,0,Hybrid,Gloss Finish
7002,2021-09-25 15:49:34,Voltage,,257.5,0,Hybrid,Gloss Finish
7002,2021-09-25 15:52:33,Voltage,252,,0,Hybrid,Gloss Finish
7002,2021-09-25 17:11:18,Gas Flow,1278,,0,Hybrid,Gloss Finish
7002,2021-09-25 17:19:59,Gas Flow,930,,0,Hybrid,Gloss Finish
7002,2021-09-25 17:45:35,Gas Flow,1520,,0,Hybrid,Gloss Finish
7002,2021-09-25 17:48:18,Temperature,153.4,,0,Hybrid,Gloss Finish
7002,2021-09-25 18:04:46,Temperature,105,,0,Hybrid,Gloss Finish
7002,2021-09-25 18:25:52,Temperature,139.5,,0,Hybrid,Gloss Finish
7002,2021-09-25 20:31:00,Voltage,,149,0,Hybrid,Shutter Closing
7002,2021-09-25 20:49:51,Voltage,105.45,,0,Hybrid,Shutter Closing
7002,2021-09-25 21:09:09,Voltage,89,,0,Hybrid,Shutter Closing
7002,2021-09-25 23:34:08,Current,,7.04,0,Hybrid,Shutter Closing
7002,2021-09-25 23:45:14,Current,8.4,,0,Hybrid,Shutter Closing
7002,2021-09-25 23:53:08,Current,4.047,,0,Hybrid,Shutter Closing
7002,2021-09-25 23:56:27,Current,4.752,,0,Hybrid,Shutter Closing
