Destination,Date,rolling_week_avg,rolling_week_sum
New York,2021-01-18,170375.2857142857,1192627
New York,2021-01-19,165764.14285714287,1160349
New York,2021-01-20,150529.85714285713,1053709
New York,2021-01-21,148565.57142857142,1039959
New York,2021-01-22,153377.2857142857,1073641
New York,2021-01-23,165281.7142857143,1156972
New York,2021-01-24,169394.0,1185758
New York,2021-01-25,177166.14285714287,1240163
New York,2021-01-26,183567.42857142858,1284972
New York,2021-01-27,199134.2857142857,1393940
New York,2021-01-28,211059.85714285713,1477419
New York,2021-01-29,209913.57142857142,1469395
New York,2021-01-30,200930.85714285713,1406516
New York,2021-01-31,201169.0,1408183
New York,2021-02-01,191925.57142857142,1343479
New York,2021-02-02,197813.7142857143,1384696
New York,2021-02-03,189642.2857142857,1327496
New York,2021-02-04,177561.85714285713,1242933
New York,2021-02-05,178928.2857142857,1252498
New York,2021-02-06,178625.57142857142,1250379
New York,2021-02-07,176731.7142857143,1237122
New York,2021-02-08,183861.14285714287,1287028
New York,2021-02-09,177196.2857142857,1240374
New York,2021-02-10,169251.0,1184757
New York,2021-02-11,170641.14285714287,1194488
New York,2021-02-12,163974.42857142858,1147821
New York,2021-02-13,164016.0,1148112
New York,2021-02-14,166494.57142857142,1165462
New York,2021-02-15,157503.14285714287,1102522
New York,2021-02-16,156016.57142857142,1092116
New York,2021-02-17,158114.7142857143,1106803
New York,2021-02-18,157932.14285714287,1105525
New York,2021-02-19,159817.0,1118719
New York,2021-02-20,157855.42857142858,1104988
New York,2021-02-21,158305.0,1108135
New York,2021-02-22,158167.14285714287,1107170
New York,2021-02-23,168117.0,1176819
New York,2021-02-24,165609.0,1159263
New York,2021-02-25,169305.2857142857,1185137
New York,2021-02-26,179988.7142857143,1259921
New York,2021-02-27,177674.0,1243718
New York,2021-02-28,176221.57142857142,1233551
New York,2021-03-01,183626.14285714287,1285383
New York,2021-03-02,171303.7142857143,1199126
New York,2021-03-03,188505.7142857143,1319540
New York,2021-03-04,191333.85714285713,1339337
New York,2021-03-05,192492.57142857142,1347448
New York,2021-03-06,207902.85714285713,1455320
New York,2021-03-07,215149.7142857143,1506048
New York,2021-03-08,223918.14285714287,1567427
New York,2021-03-09,234442.0,1641094
New York,2021-03-10,218427.7142857143,1528994
New York,2021-03-11,209920.57142857142,1469444
New York,2021-03-12,205905.7142857143,1441340
New York,2021-03-13,193205.57142857142,1352439
New York,2021-03-14,177775.85714285713,1244431
New York,2021-03-15,169009.42857142858,1183066
New York,2021-03-16,167111.0,1169777
New York,2021-03-17,169611.0,1187277
New York,2021-03-18,181437.85714285713,1270065
New York,2021-03-19,171929.7142857143,1203508
New York,2021-03-20,174599.2857142857,1222195
New York,2021-03-21,186224.7142857143,1303573
New York,2021-03-22,195217.57142857142,1366523
New York,2021-03-23,183617.2857142857,1285321
New York,2021-03-24,180108.14285714287,1260757
New York,2021-03-25,166905.7142857143,1168340
New York,2021-03-26,169590.42857142858,1187133
New York,2021-03-27,178532.2857142857,1249726
New York,2021-03-28,174800.42857142858,1223603
New York,2021-03-29,163330.5,979983
New York,2021-03-30,170670.2,853351
New York,2021-03-31,181275.75,725103
Perth,2021-01-01,112465.25,449861
Perth,2021-01-02,115022.2,575111
Perth,2021-01-03,108085.0,648510
Perth,2021-01-04,102687.14285714286,718810
Perth,2021-01-05,104282.14285714286,729975
Perth,2021-01-06,99049.42857142857,693346
Perth,2021-01-07,100070.28571428571,700492
Perth,2021-01-08,94916.71428571429,664417
Perth,2021-01-09,84829.85714285714,593809
Perth,2021-01-10,87606.42857142857,613245
Perth,2021-01-11,89959.71428571429,629718
Perth,2021-01-12,90146.14285714286,631023
Perth,2021-01-13,98592.42857142857,690147
Perth,2021-01-14,106718.85714285714,747032
Perth,2021-01-15,106131.85714285714,742923
Perth,2021-01-16,113722.71428571429,796059
Perth,2021-01-17,112111.71428571429,784782
Perth,2021-01-18,110305.0,772135
Perth,2021-01-19,102357.85714285714,716505
Perth,2021-01-20,94406.85714285714,660848
Perth,2021-01-21,85412.85714285714,597890
Perth,2021-01-22,84210.14285714286,589471
Perth,2021-01-23,86172.42857142857,603207
Perth,2021-01-24,89161.57142857143,624131
Perth,2021-01-25,99480.57142857143,696364
Perth,2021-01-26,100496.14285714286,703473
Perth,2021-01-27,97143.57142857143,680005
Perth,2021-01-28,102421.0,716947
Perth,2021-01-29,107630.71428571429,753415
Perth,2021-01-30,105303.42857142857,737124
Perth,2021-01-31,103311.85714285714,723183
Perth,2021-02-01,90606.0,634242
Perth,2021-02-02,97039.57142857143,679277
Perth,2021-02-03,108391.42857142857,758740
Perth,2021-02-04,104562.14285714286,731935
Perth,2021-02-05,107928.57142857143,755500
Perth,2021-02-06,107826.0,754782
Perth,2021-02-07,112861.71428571429,790032
Perth,2021-02-08,117607.71428571429,823254
Perth,2021-02-09,107207.0,750449
Perth,2021-02-10,107074.0,749518
Perth,2021-02-11,107830.28571428571,754812
Perth,2021-02-12,99174.71428571429,694223
Perth,2021-02-13,102380.57142857143,716664
Perth,2021-02-14,96870.42857142857,678093
Perth,2021-02-15,102037.14285714286,714260
Perth,2021-02-16,99006.0,693042
Perth,2021-02-17,99049.57142857143,693347
Perth,2021-02-18,105941.85714285714,741593
Perth,2021-02-19,102599.71428571429,718198
Perth,2021-02-20,93885.57142857143,657199
Perth,2021-02-21,91442.57142857143,640098
Perth,2021-02-22,88135.28571428571,616947
Perth,2021-02-23,97456.28571428571,682194
Perth,2021-02-24,95171.28571428571,666199
Perth,2021-02-25,94389.85714285714,660729
Perth,2021-02-26,99178.85714285714,694252
Perth,2021-02-27,111077.28571428571,777541
Perth,2021-02-28,116719.57142857143,817037
Perth,2021-03-01,112910.42857142857,790373
Perth,2021-03-02,117341.71428571429,821392
Perth,2021-03-03,113612.71428571429,795289
Perth,2021-03-04,109054.14285714286,763379
Perth,2021-03-05,107031.71428571429,749222
Perth,2021-03-06,99496.57142857143,696476
Perth,2021-03-07,102359.85714285714,716519
Perth,2021-03-08,109140.85714285714,763986
Perth,2021-03-09,99735.14285714286,698146
Perth,2021-03-10,93087.57142857143,651613
Perth,2021-03-11,98413.0,688891
Perth,2021-03-12,108906.57142857143,762346
Perth,2021-03-13,115747.0,810229
Perth,2021-03-14,113777.57142857143,796443
Perth,2021-03-15,110608.42857142857,774259
Perth,2021-03-16,109696.57142857143,767876
Perth,2021-03-17,113998.28571428571,797988
Perth,2021-03-18,105232.85714285714,736630
Perth,2021-03-19,99109.57142857143,693767
Perth,2021-03-20,89889.42857142857,629226
Perth,2021-03-21,86938.14285714286,608567
Perth,2021-03-22,93030.57142857143,651214
Perth,2021-03-23,93621.57142857143,655351
Perth,2021-03-24,97477.28571428571,682341
Perth,2021-03-25,102665.28571428571,718657
Perth,2021-03-26,100450.14285714286,703151
Perth,2021-03-27,100556.42857142857,703895
Perth,2021-03-28,102836.42857142857,719855
Perth,2021-03-29,95822.16666666667,574933
Perth,2021-03-30,98884.2,494421
Perth,2021-03-31,94148.0,376592
All,2021-01-01,162109.33333333334,1945312
All,2021-01-02,162309.46666666667,2434642
All,2021-01-03,159791.16666666666,2876241
All,2021-01-04,154286.2857142857,3240012
All,2021-01-05,148287.33333333334,3114034
All,2021-01-06,150330.95238095237,3156950
All,2021-01-07,153463.14285714287,3222726
All,2021-01-08,154088.0,3235848
All,2021-01-09,153688.66666666666,3227462
All,2021-01-10,154798.09523809524,3250760
All,2021-01-11,160949.19047619047,3379933
All,2021-01-12,160681.90476190476,3374320
All,2021-01-13,162348.66666666666,3409322
All,2021-01-14,162468.57142857142,3411840
All,2021-01-15,159969.04761904763,3359350
All,2021-01-16,156681.7142857143,3290316
All,2021-01-17,152451.47619047618,3201481
All,2021-01-18,148780.52380952382,3124391
All,2021-01-19,142520.19047619047,2992924
All,2021-01-20,138158.66666666666,2901332
All,2021-01-21,132837.7142857143,2789592
All,2021-01-22,135700.2380952381,2849705
All,2021-01-23,142810.33333333334,2999017
All,2021-01-24,148561.04761904763,3119782
All,2021-01-25,151452.90476190476,3180511
All,2021-01-26,159494.85714285713,3349392
All,2021-01-27,163229.14285714287,3427812
All,2021-01-28,169919.2380952381,3568304
All,2021-01-29,169598.61904761905,3561571
All,2021-01-30,161896.61904761905,3399829
All,2021-01-31,156228.04761904763,3280789
All,2021-02-01,149505.19047619047,3139609
All,2021-02-02,150078.7142857143,3151653
All,2021-02-03,151046.7619047619,3171982
All,2021-02-04,145073.52380952382,3046544
All,2021-02-05,142931.19047619047,3001555
All,2021-02-06,145615.42857142858,3057924
All,2021-02-07,147662.04761904763,3100903
All,2021-02-08,151467.42857142858,3180816
All,2021-02-09,148601.0,3120621
All,2021-02-10,146454.33333333334,3075541
All,2021-02-11,143824.42857142858,3020313
All,2021-02-12,138150.0,2901150
All,2021-02-13,141085.0,2962785
All,2021-02-14,140986.61904761905,2960719
All,2021-02-15,138779.42857142858,2914368
All,2021-02-16,136491.85714285713,2866329
All,2021-02-17,139513.33333333334,2929780
All,2021-02-18,146188.33333333334,3069955
All,2021-02-19,148397.04761904763,3116338
All,2021-02-20,143679.33333333334,3017266
All,2021-02-21,147670.95238095237,3101090
All,2021-02-22,150731.33333333334,3165358
All,2021-02-23,158915.14285714287,3337218
All,2021-02-24,150946.33333333334,3169873
All,2021-02-25,147743.14285714287,3102606
All,2021-02-26,155359.66666666666,3262553
All,2021-02-27,155307.47619047618,3261457
All,2021-02-28,154572.09523809524,3246014
All,2021-03-01,157705.52380952382,3311816
All,2021-03-02,155656.7619047619,3268792
All,2021-03-03,163185.61904761905,3426898
All,2021-03-04,163407.19047619047,3431551
All,2021-03-05,158881.14285714287,3336504
All,2021-03-06,164263.52380952382,3449534
All,2021-03-07,164840.47619047618,3461650
All,2021-03-08,164768.04761904763,3460129
All,2021-03-09,160451.04761904763,3369472
All,2021-03-10,154615.09523809524,3246917
All,2021-03-11,153913.47619047618,3232183
All,2021-03-12,158967.66666666666,3338321
All,2021-03-13,155972.57142857142,3275424
All,2021-03-14,148967.57142857142,3128319
All,2021-03-15,147099.7142857143,3089094
All,2021-03-16,145308.0,3051468
All,2021-03-17,143252.2380952381,3008297
All,2021-03-18,143683.47619047618,3017353
All,2021-03-19,134765.61904761905,2830078
All,2021-03-20,129550.04761904762,2720551
All,2021-03-21,133928.57142857142,2812500
All,2021-03-22,137072.85714285713,2878530
All,2021-03-23,133735.61904761905,2808448
All,2021-03-24,136583.33333333334,2868250
All,2021-03-25,139533.42857142858,2930202
All,2021-03-26,142381.80952380953,2990018
All,2021-03-27,146433.57142857142,3075105
All,2021-03-28,148683.85714285713,3122361
All,2021-03-29,144335.66666666666,2598042
All,2021-03-30,150081.73333333334,2251226
All,2021-03-31,153181.66666666666,1838180
