list,num_children,toys,Production Manager,quota,week,toys_produced,running_sum_toys_produced,over_under_quota
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-07-24,1486811,32957888,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-07-31,243986,33201874,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-08-07,1417949,34619823,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-08-14,371298,34991121,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-08-21,1096953,36088074,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-08-28,2186508,38274582,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-09-04,2195500,40470082,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-09-11,2202215,42672297,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-09-18,280176,42952473,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-09-25,666116,43618589,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-10-02,1149978,44768567,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-10-09,392815,45161382,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-10-16,2293971,47455353,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-10-23,2198249,49653602,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-10-30,1564893,51218495,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-11-06,1383075,52601570,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-11-13,1811676,54413246,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-11-20,726334,55139580,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-11-27,1145636,56285216,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-12-04,1728918,58014134,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-12-11,1151056,59165190,Under
Nicer than Most,300000000,Barbie Convertible Car,Cinnamon Merry,75000000.0,2023-12-18,1269416,60434606,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-01-02,3857118,3857118,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-01-09,1284332,5141450,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-01-16,3150718,8292168,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-01-23,2448917,10741085,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-01-30,2546722,13287807,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-02-06,4644521,17932328,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-02-13,1878432,19810760,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-02-20,2556638,22367398,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-02-27,4403054,26770452,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-03-06,4899366,31669818,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-03-13,3756090,35425908,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-03-20,2964959,38390867,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-03-27,2948443,41339310,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-04-03,576822,41916132,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-04-10,4212184,46128316,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-04-17,816766,46945082,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-04-24,2372736,49317818,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-05-01,2136987,51454805,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-05-08,639226,52094031,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-05-15,1714973,53809004,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-05-22,4581248,58390252,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-05-29,1711609,60101861,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-06-05,1541730,61643591,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-06-12,3785293,65428884,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-06-19,4345539,69774423,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-06-26,1435138,71209561,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-07-03,465466,71675027,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-07-10,728108,72403135,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-07-17,4737993,77141128,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-07-24,1974821,79115949,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-07-31,3701024,82816973,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-08-07,4551464,87368437,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-08-14,4633523,92001960,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-08-21,823071,92825031,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-08-28,4189821,97014852,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-09-04,3271423,100286275,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-09-11,4093160,104379435,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-09-18,4317300,108696735,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-09-25,2089690,110786425,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-10-02,414310,111200735,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-10-09,827719,112028454,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-10-16,4882355,116910809,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-10-23,4554232,121465041,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-10-30,1894301,123359342,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-11-06,1649271,125008613,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-11-13,3652921,128661534,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-11-20,4460803,133122337,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-11-27,1408423,134530760,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-12-04,288395,134819155,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-12-11,3522015,138341170,Under
Nice,500000000,Barbie Doll,Cocoa Mistletoe,175000000.0,2023-12-18,4237382,142578552,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-01-02,1943894,1943894,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-01-09,1836425,3780319,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-01-16,2334772,6115091,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-01-23,855571,6970662,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-01-30,304789,7275451,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-02-06,2217157,9492608,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-02-13,2206341,11698949,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-02-20,666656,12365605,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-02-27,45056,12410661,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-03-06,2190293,14600954,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-03-13,912577,15513531,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-03-20,736540,16250071,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-03-27,1734304,17984375,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-04-03,1230110,19214485,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-04-10,1872919,21087404,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-04-17,919417,22006821,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-04-24,1192568,23199389,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-05-01,943374,24142763,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-05-08,27124,24169887,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-05-15,1608239,25778126,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-05-22,619399,26397525,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-05-29,445708,26843233,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-06-05,1861796,28705029,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-06-12,1169012,29874041,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-06-19,2100724,31974765,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-06-26,2270373,34245138,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-07-03,1104213,35349351,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-07-10,2200575,37549926,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-07-17,1442176,38992102,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-07-24,1114005,40106107,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-07-31,1069339,41175446,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-08-07,2783032,43958478,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-08-14,2658379,46616857,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-08-21,2786759,49403616,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-08-28,1674579,51078195,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-09-04,1182992,52261187,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-09-11,1795578,54056765,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-09-18,270686,54327451,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-09-25,2129741,56457192,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-10-02,598602,57055794,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-10-09,2262196,59317990,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-10-16,374941,59692931,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-10-23,1779605,61472536,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-10-30,2226173,63698709,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-11-06,1293465,64992174,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-11-13,115032,65107206,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-11-20,1171665,66278871,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-11-27,357865,66636736,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-12-04,1810119,68446855,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-12-11,909812,69356667,Under
Nicest,200000000,Barbie's Dream House,Frosty Peppermint,80000000.0,2023-12-18,23637,69380304,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-01-02,206133,206133,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-01-09,909388,1115521,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-01-16,1765612,2881133,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-01-23,1563600,4444733,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-01-30,1288586,5733319,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-02-06,1772374,7505693,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-02-13,1916843,9422536,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-02-20,2274177,11696713,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-02-27,1437996,13134709,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-03-06,1235364,14370073,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-03-13,231728,14601801,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-03-20,1749034,16350835,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-03-27,854464,17205299,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-04-03,1698572,18903871,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-04-10,2570824,21474695,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-04-17,2784378,24259073,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-04-24,1008705,25267778,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-05-01,703781,25971559,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-05-08,1193190,27164749,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-05-15,975828,28140577,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-05-22,34174,28174751,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-05-29,551274,28726025,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-06-05,1836771,30562796,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-06-12,257958,30820754,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-06-19,2604748,33425502,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-06-26,858011,34283513,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-07-03,685046,34968559,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-07-10,2038572,37007131,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-07-17,2300844,39307975,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-07-24,2319154,41627129,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-07-31,1091616,42718745,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-08-07,2369792,45088537,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-08-14,201376,45289913,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-08-21,1895953,47185866,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-08-28,555337,47741203,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-09-04,2553420,50294623,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-09-11,1884497,52179120,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-09-18,2533726,54712846,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-09-25,1315155,56028001,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-10-02,345876,56373877,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-10-09,2255296,58629173,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-10-16,1025566,59654739,Under
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-10-23,1134577,60789316,Over
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-10-30,1392360,62181676,Over
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-11-06,2647668,64829344,Over
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-11-13,2764537,67593881,Over
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-11-20,97602,67691483,Over
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-11-27,1131562,68823045,Over
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-12-04,2094502,70917547,Over
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-12-11,1773634,72691181,Over
Nicest,200000000,Bike,Holly Buddy,60000000.0,2023-12-18,2207822,74899003,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-01-02,340645,340645,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-01-09,1904473,2245118,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-01-16,475800,2720918,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-01-23,1735584,4456502,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-01-30,805602,5262104,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-02-06,1080448,6342552,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-02-13,2258732,8601284,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-02-20,697970,9299254,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-02-27,2246048,11545302,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-03-06,1041893,12587195,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-03-13,1712210,14299405,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-03-20,2021847,16321252,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-03-27,2125613,18446865,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-04-03,585482,19032347,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-04-10,1289019,20321366,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-04-17,959494,21280860,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-04-24,1288110,22568970,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-05-01,1405065,23974035,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-05-08,1362633,25336668,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-05-15,2162716,27499384,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-05-22,2284236,29783620,Under
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-05-29,1526910,31310530,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-06-05,369289,31679819,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-06-12,1658345,33338164,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-06-19,1630113,34968277,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-06-26,1676831,36645108,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-07-03,1120443,37765551,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-07-10,1180208,38945759,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-07-17,465370,39411129,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-07-24,1389282,40800411,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-07-31,1650385,42450796,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-08-07,349615,42800411,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-08-14,948299,43748710,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-08-21,519867,44268577,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-08-28,1832077,46100654,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-09-04,433479,46534133,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-09-11,1570949,48105082,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-09-18,1441266,49546348,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-09-25,2044167,51590515,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-10-02,529692,52120207,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-10-09,39695,52159902,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-10-16,648218,52808120,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-10-23,1800941,54609061,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-10-30,1897835,56506896,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-11-06,69888,56576784,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-11-13,431781,57008565,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-11-20,27783,57036348,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-11-27,327797,57364145,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-12-04,1053347,58417492,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-12-11,2208390,60625882,Over
Nicer than Most,300000000,Board Game,Tipsy Tinker,30000000.0,2023-12-18,575763,61201645,Over
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-01-02,2461917,2461917,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-01-09,88439,2550356,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-01-16,1219444,3769800,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-01-23,1445969,5215769,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-01-30,2419925,7635694,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-02-06,2347503,9983197,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-02-13,1483278,11466475,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-02-20,1949982,13416457,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-02-27,2173100,15589557,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-03-06,1604279,17193836,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-03-13,12219,17206055,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-03-20,1763272,18969327,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-03-27,2449646,21418973,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-04-03,2244186,23663159,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-04-10,1888894,25552053,Under
Nicest,200000000,Large Lego Set,Jolly Ginger,60000000.0,2023-04-17,2715013,28267066,Under
